Geo Point,zone_id,site_id,modified,park,landuse,site_typ,species,diameter,height,spread,trunks,conditn,appraise,planted
"44.4485454693,-73.2286282022",ward 5,2933,2013-10,,residence,Tree,arborvitae,2,5,5,1,80,240.0,0
"44.4496980188,-73.2284281255",ward 5,2936,2013-10,,residence,Tree,"linden,littleleaf",16,50,30,1,70,5300.0,0
"44.4497515259,-73.2284387635",ward 5,2937,2013-10,,residence,Tree,"linden,littleleaf",13,45,25,1,80,4070.0,0
"44.4599904589,-73.2208825725",ward 5,29,2011-07,,apartments,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4599120734,-73.2208788585",ward 5,30,2011-07,,apartments,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4597800431,-73.2208876446",ward 5,31,2015-05,,apartments,Tree,"mapl,red",41,45,35,1,70,27800.0,0
"44.4595193626,-73.2208794496",ward 5,34,2011-07,,apartments,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4590443345,-73.2208785917",ward 5,37,2011-07,,apartments,Tree,"maackia,amur",5,15,12,1,80,580.0,0
"44.4582429084,-73.2207182925",ward 5,46,2011-07,,,Tree,unknown,3,15,10,1,70,0.0,0
"44.4586003596,-73.2207380499",ward 5,48,2015-11,,apartments,Tree,"mapl,red",21,45,31,1,70,8100.0,0
"44.4588207072,-73.2204886308",ward 5,51,2011-07,,apartments,Tree,"mapl,red",8,30,17,1,70,1190.0,0
"44.4588358682,-73.2193110638",ward 5,56,2011-07,,apartments,Tree,"mapl,hedge",11,20,15,1,70,2240.0,0
"44.4594037533,-73.2195964774",ward 5,68,2018-06,,apartments,Tree,linden ltlf corin,2,10,5,1,80,210.0,2018
"44.4601849334,-73.2196194278",ward 5,74,2011-07,,apartments,Tree,"mapl,silver",32,55,45,1,70,13100.0,0
"44.4603610493,-73.2196332272",ward 5,76,2011-07,,apartments,Tree,"linden,littleleaf",13,35,15,1,70,3560.0,0
"44.4604312971,-73.2196324276",ward 5,78,2011-07,,apartments,Tree,"linden,littleleaf",19,35,20,1,70,7500.0,0
"44.4610739033,-73.2198586887",ward 5,4,2011-07,,apartments,Tree,"hackberry,common",10,25,20,1,80,1960.0,0
"44.4610588903,-73.2199801922",ward 5,5,2011-07,,apartments,Tree,"hackberry,common",7,20,15,1,80,970.0,0
"44.460627493,-73.2207736163",ward 5,10,2018-11,,apartments,Tree,"linden,ltlf grnsp",24,45,35,2,70,12000.0,0
"44.4609047024,-73.2198188035",ward 5,83,2011-07,,apartments,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4603576508,-73.220908052",ward 5,85,2011-07,,business,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4600538288,-73.2205589701",ward 5,87,2018-06,,apartments,Tree,lila jap tr ivr p,2,5,5,1,80,210.0,2018
"44.4600040716,-73.2207630509",ward 5,88,2011-07,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4597864462,-73.2207628841",ward 5,90,2011-07,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4596970002,-73.2207639009",ward 5,91,2011-07,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.459463387,-73.2207437804",ward 5,93,2011-07,lakeside park,park,Tree,"ash,gr mrshl sdls",19,45,30,1,80,7000.0,0
"44.4606692278,-73.2209135475",ward 5,23,2011-07,,business,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4893514129,-73.2083918931",ward 2,1151,2013-12,,business,Tree,crabapple spp,6,15,10,1,70,580.0,0
